Pack,Order,Name,Type,Size,LastModified,CloudfrontLink
4,1,JML/ANW3530_004_My-Country-My-Queen_drums_STEM.wav,wav,43.8 MB,2024-07-04T10:48:43.000Z,https://d3c6wo8g6qprn1.cloudfront.net/ANW3530_004_My-Country-My-Queen_drums_STEM.wav
4,2,JML/ANW3530_004_My-Country-My-Queen_percussion_STEM.wav,wav,43.8 MB,2024-07-04T10:47:33.000Z,https://d3c6wo8g6qprn1.cloudfront.net/ANW3530_004_My-Country-My-Queen_percussion_STEM.wav
4,3,JML/ANW3530_004_My-Country-My-Queen_piano_STEM.wav,wav,43.8 MB,2024-07-04T10:47:33.000Z,https://d3c6wo8g6qprn1.cloudfront.net/ANW3530_004_My-Country-My-Queen_piano_STEM.wav
4,4,JML/ANW3530_004_My-Country-My-Queen_guitars_STEM.wav,wav,43.8 MB,2024-07-04T10:48:43.000Z,https://d3c6wo8g6qprn1.cloudfront.net/ANW3530_004_My-Country-My-Queen_guitars_STEM.wav
4,5,JML/ANW3530_004_My-Country-My-Queen_bass_STEM.wav,wav,43.8 MB,2024-07-04T10:48:43.000Z,https://d3c6wo8g6qprn1.cloudfront.net/ANW3530_004_My-Country-My-Queen_bass_STEM.wav
4,6,JML/ANW3530_004_My-Country-My-Queen_acoustic-guitar_STEM.wav,wav,43.8 MB,2024-07-04T10:48:43.000Z,https://d3c6wo8g6qprn1.cloudfront.net/ANW3530_004_My-Country-My-Queen_acoustic-guitar_STEM.wav
4,7,JML/ANW3530_004_My-Country-My-Queen_synths_STEM.wav,wav,43.8 MB,2024-07-04T10:47:33.000Z,https://d3c6wo8g6qprn1.cloudfront.net/ANW3530_004_My-Country-My-Queen_synths_STEM.wav
4,8,JML/ANW3530_004_My-Country-My-Queen_strings_STEM.wav,wav,43.8 MB,2024-07-04T10:47:33.000Z,https://d3c6wo8g6qprn1.cloudfront.net/ANW3530_004_My-Country-My-Queen_strings_STEM.wav
5,1,JML/ANW3568_003_Together-Full-Of-Love_drums_STEM.wav,wav,40.1 MB,2024-07-04T10:44:03.000Z,https://d3c6wo8g6qprn1.cloudfront.net/ANW3568_003_Together-Full-Of-Love_drums_STEM.wav
5,2,JML/ANW3568_003_Together-Full-Of-Love_guitars_STEM.wav,wav,40.1 MB,2024-07-04T10:44:03.000Z,https://d3c6wo8g6qprn1.cloudfront.net/ANW3568_003_Together-Full-Of-Love_guitars_STEM.wav
5,3,JML/ANW3568_003_Together-Full-Of-Love_vocals_STEM.wav,wav,40.1 MB,2024-07-04T10:44:03.000Z,https://d3c6wo8g6qprn1.cloudfront.net/ANW3568_003_Together-Full-Of-Love_vocals_STEM.wav
5,4,JML/ANW3568_003_Together-Full-Of-Love_bass_STEM.wav,wav,40.1 MB,2024-07-04T10:44:03.000Z,https://d3c6wo8g6qprn1.cloudfront.net/ANW3568_003_Together-Full-Of-Love_bass_STEM.wav
5,5,JML/ANW3568_003_Together-Full-Of-Love_fx_STEM.wav,wav,40.1 MB,2024-07-04T10:44:03.000Z,https://d3c6wo8g6qprn1.cloudfront.net/ANW3568_003_Together-Full-Of-Love_fx_STEM.wav
5,6,JML/ANW3568_003_Together-Full-Of-Love_keys_STEM.wav,wav,40.1 MB,2024-07-04T10:44:03.000Z,https://d3c6wo8g6qprn1.cloudfront.net/ANW3568_003_Together-Full-Of-Love_keys_STEM.wav
6,1,JML/ANW3591_003_The-Very-Best-Day-This-Year_drums_STEM.wav,wav,48.6 MB,2024-07-04T09:44:25.000Z,https://d3c6wo8g6qprn1.cloudfront.net/ANW3591_003_The-Very-Best-Day-This-Year_drums_STEM.wav
6,2,JML/ANW3591_003_The-Very-Best-Day-This-Year_percussion_STEM.wav,wav,48.6 MB,2024-07-04T09:43:23.000Z,https://d3c6wo8g6qprn1.cloudfront.net/ANW3591_003_The-Very-Best-Day-This-Year_percussion_STEM.wav
6,3,JML/ANW3591_003_The-Very-Best-Day-This-Year_piano_STEM.wav,wav,48.6 MB,2024-07-04T09:43:23.000Z,https://d3c6wo8g6qprn1.cloudfront.net/ANW3591_003_The-Very-Best-Day-This-Year_piano_STEM.wav
6,4,JML/ANW3591_003_The-Very-Best-Day-This-Year_guitar_STEM.wav,wav,48.6 MB,2024-07-04T09:44:25.000Z,https://d3c6wo8g6qprn1.cloudfront.net/ANW3591_003_The-Very-Best-Day-This-Year_guitar_STEM.wav
6,5,JML/ANW3591_003_The-Very-Best-Day-This-Year_vocals_STEM.wav,wav,48.6 MB,2024-07-04T09:43:23.000Z,https://d3c6wo8g6qprn1.cloudfront.net/ANW3591_003_The-Very-Best-Day-This-Year_vocals_STEM.wav
6,6,JML/ANW3591_003_The-Very-Best-Day-This-Year_bass_STEM.wav,wav,48.6 MB,2024-07-04T09:44:25.000Z,https://d3c6wo8g6qprn1.cloudfront.net/ANW3591_003_The-Very-Best-Day-This-Year_bass_STEM.wav
6,7,JML/ANW3591_003_The-Very-Best-Day-This-Year_brass_STEM.wav,wav,48.6 MB,2024-07-04T09:44:25.000Z,https://d3c6wo8g6qprn1.cloudfront.net/ANW3591_003_The-Very-Best-Day-This-Year_brass_STEM.wav
6,8,JML/ANW3591_003_The-Very-Best-Day-This-Year_orchestra_STEM.wav,wav,48.6 MB,2024-07-04T09:43:23.000Z,https://d3c6wo8g6qprn1.cloudfront.net/ANW3591_003_The-Very-Best-Day-This-Year_orchestra_STEM.wav
7,1,JML/ANW3591_007_Oh-What-Fun_drums_STEM.wav,wav,36.1 MB,2024-06-28T08:37:41.000Z,https://d3c6wo8g6qprn1.cloudfront.net/ANW3591_007_Oh-What-Fun_drums_STEM.wav
7,2,JML/ANW3591_007_Oh-What-Fun_percussion_STEM.wav,wav,36.1 MB,2024-06-28T08:37:41.000Z,https://d3c6wo8g6qprn1.cloudfront.net/ANW3591_007_Oh-What-Fun_percussion_STEM.wav
7,3,JML/ANW3591_007_Oh-What-Fun_piano_STEM.wav,wav,36.1 MB,2024-06-28T08:37:41.000Z,https://d3c6wo8g6qprn1.cloudfront.net/ANW3591_007_Oh-What-Fun_piano_STEM.wav
7,4,JML/ANW3591_007_Oh-What-Fun_guitar_STEM.wav,wav,36.1 MB,2024-06-28T08:37:41.000Z,https://d3c6wo8g6qprn1.cloudfront.net/ANW3591_007_Oh-What-Fun_guitar_STEM.wav
7,5,JML/ANW3591_007_Oh-What-Fun_vocal_STEM.wav,wav,36.1 MB,2024-06-28T08:37:41.000Z,https://d3c6wo8g6qprn1.cloudfront.net/ANW3591_007_Oh-What-Fun_vocal_STEM.wav
7,6,JML/ANW3591_007_Oh-What-Fun_bass_STEM.wav,wav,36.1 MB,2024-06-28T10:23:08.000Z,https://d3c6wo8g6qprn1.cloudfront.net/ANW3591_007_Oh-What-Fun_bass_STEM.wav
7,7,JML/ANW3591_007_Oh-What-Fun_sax-solo_STEM.wav,wav,36.1 MB,2024-06-28T08:37:41.000Z,https://d3c6wo8g6qprn1.cloudfront.net/ANW3591_007_Oh-What-Fun_sax-solo_STEM.wav
7,8,JML/ANW3591_007_Oh-What-Fun_strings_STEM.wav,wav,36.1 MB,2024-06-28T08:37:41.000Z,https://d3c6wo8g6qprn1.cloudfront.net/ANW3591_007_Oh-What-Fun_strings_STEM.wav
8,1,JML/Drum-DaddyCool.wav,wav,35.1 MB,2024-07-04T11:12:51.000Z,https://d3c6wo8g6qprn1.cloudfront.net/Drum-DaddyCool.wav
8,2,JML/Bass-DaddyCool.wav,wav,35.1 MB,2024-07-04T11:12:51.000Z,https://d3c6wo8g6qprn1.cloudfront.net/Bass-DaddyCool.wav
8,3,JML/Voca-DaddyCooll.wav,wav,35.1 MB,2024-07-04T11:12:51.000Z,https://d3c6wo8g6qprn1.cloudfront.net/Voca-DaddyCooll.wav
8,4,JML/Synth-DaddyCool.wav,wav,35.1 MB,2024-07-04T11:12:51.000Z,https://d3c6wo8g6qprn1.cloudfront.net/Synth-DaddyCool.wav
9,1,JML/TOXIC-DRUM.wav,wav,33.9 MB,2024-07-04T11:09:05.000Z,https://d3c6wo8g6qprn1.cloudfront.net/TOXIC-DRUM.wav
9,2,JML/TOXIC-GUITAR.wav,wav,33.9 MB,2024-07-04T11:09:05.000Z,https://d3c6wo8g6qprn1.cloudfront.net/TOXIC-GUITAR.wav
9,3,JML/TOXIC-STRINGS.wav,wav,33.9 MB,2024-07-04T11:09:05.000Z,https://d3c6wo8g6qprn1.cloudfront.net/TOXIC-STRINGS.wav
9,4,JML/TOXIC-VOCAL.wav,wav,33.9 MB,2024-07-04T11:09:05.000Z,https://d3c6wo8g6qprn1.cloudfront.net/TOXIC-VOCAL.wav
9,5,JML/TOXIC-KEY.wav,wav,33.9 MB,2024-07-04T11:09:05.000Z,https://d3c6wo8g6qprn1.cloudfront.net/TOXIC-KEY.wav
9,6,JML/TOXIC-VOX-fx.wav,wav,33.9 MB,2024-07-04T11:09:05.000Z,https://d3c6wo8g6qprn1.cloudfront.net/TOXIC-VOX-fx.wav
9,7,JML/TOXIC-synth-bass.wav,wav,33.9 MB,2024-07-04T11:09:05.000Z,https://d3c6wo8g6qprn1.cloudfront.net/TOXIC-synth-bass.wav
10,1,JML/Wake-me-up-DRUM.wav,wav,41.7 MB,2024-07-04T11:14:20.000Z,https://d3c6wo8g6qprn1.cloudfront.net/Wake-me-up-DRUM.wav
10,2,JML/Wake-me-up-PIANO.wav,wav,41.7 MB,2024-07-04T11:14:20.000Z,https://d3c6wo8g6qprn1.cloudfront.net/Wake-me-up-PIANO.wav
10,3,JML/Wake-me-up-GUITAR.wav,wav,41.7 MB,2024-07-04T11:14:20.000Z,https://d3c6wo8g6qprn1.cloudfront.net/Wake-me-up-GUITAR.wav
10,4,JML/Wake-me-up-VOCAL.wav,wav,41.7 MB,2024-07-04T11:14:20.000Z,https://d3c6wo8g6qprn1.cloudfront.net/Wake-me-up-VOCAL.wav
10,5,JML/Wake-me-up-BASS.wav,wav,41.7 MB,2024-07-04T11:14:20.000Z,https://d3c6wo8g6qprn1.cloudfront.net/Wake-me-up-BASS.wav
10,6,JML/Wake-me-up-LEAD.wav,wav,41.7 MB,2024-07-04T11:14:20.000Z,https://d3c6wo8g6qprn1.cloudfront.net/Wake-me-up-LEAD.wav
11,1,JML/IWantItThatWay-Drum.wav,wav,35.9 MB,2024-07-04T11:11:18.000Z,https://d3c6wo8g6qprn1.cloudfront.net/IWantItThatWay-Drum.wav
11,2,JML/IWantItThatWay-Guitar.wav,wav,35.9 MB,2024-07-04T11:11:18.000Z,https://d3c6wo8g6qprn1.cloudfront.net/IWantItThatWay-Guitar.wav
11,3,JML/IWantItThatWay-Bass.wav,wav,35.9 MB,2024-07-04T11:11:18.000Z,https://d3c6wo8g6qprn1.cloudfront.net/IWantItThatWay-Bass.wav
11,4,JML/IWantItThatWay-Vocal.wav,wav,35.9 MB,2024-07-04T11:11:18.000Z,https://d3c6wo8g6qprn1.cloudfront.net/IWantItThatWay-Vocal.wav
11,5,JML/IWantItThatWay-Synth.wav,wav,35.9 MB,2024-07-04T11:11:18.000Z,https://d3c6wo8g6qprn1.cloudfront.net/IWantItThatWay-Synth.wav
12,1,JML/Drum-KissMeMore-DojaCat_SZA.wav,wav,35.1 MB,2024-07-04T10:58:45.000Z,https://d3c6wo8g6qprn1.cloudfront.net/Drum-KissMeMore-DojaCat_SZA.wav
12,2,JML/EGuitar1-KissMeMore-DojaCat_SZA.wav,wav,35.1 MB,2024-07-04T10:58:45.000Z,https://d3c6wo8g6qprn1.cloudfront.net/EGuitar1-KissMeMore-DojaCat_SZA.wav
12,3,JML/EGuitar2-KissMeMore-DojaCat_SZA.wav,wav,35.1 MB,2024-07-04T10:58:45.000Z,https://d3c6wo8g6qprn1.cloudfront.net/EGuitar2-KissMeMore-DojaCat_SZA.wav
12,4,JML/Bass-KissMeMore-DojaCat_SZA.wav,wav,35.1 MB,2024-07-04T10:58:45.000Z,https://d3c6wo8g6qprn1.cloudfront.net/Bass-KissMeMore-DojaCat_SZA.wav
12,5,JML/Fx-KissMeMore-DojaCat_SZA.wav,wav,35.1 MB,2024-07-04T10:58:45.000Z,https://d3c6wo8g6qprn1.cloudfront.net/Fx-KissMeMore-DojaCat_SZA.wav
12,6,JML/Vocal-KissMeMore-DojaCat_SZA.wav,wav,35.1 MB,2024-07-04T10:58:45.000Z,https://d3c6wo8g6qprn1.cloudfront.net/Vocal-KissMeMore-DojaCat_SZA.wav
12,7,JML/Synth-KissMeMore-DojaCat_SZA.wav,wav,35.1 MB,2024-07-04T10:58:45.000Z,https://d3c6wo8g6qprn1.cloudfront.net/Synth-KissMeMore-DojaCat_SZA.wav
13,1,JML/Drums-VivaLaVida.wav,wav,38.1 MB,2024-07-04T11:00:44.000Z,https://d3c6wo8g6qprn1.cloudfront.net/Drums-VivaLaVida.wav
13,2,JML/Bass-VivaLaVida.wav,wav,38.1 MB,2024-07-04T11:00:44.000Z,https://d3c6wo8g6qprn1.cloudfront.net/Bass-VivaLaVida.wav
13,3,JML/Vocal-VivaLaVida.wav,wav,38.1 MB,2024-07-04T11:00:44.000Z,https://d3c6wo8g6qprn1.cloudfront.net/Vocal-VivaLaVida.wav
13,4,JML/Synth-VivaLaVida.wav,wav,38.1 MB,2024-07-04T11:00:44.000Z,https://d3c6wo8g6qprn1.cloudfront.net/Synth-VivaLaVida.wav
